id,name,price,stock
110,Spicy Meat Lamb Chops,204.24,47
111,Deluxe Bath Mouthwash,167.24,51
112,Imported Clean Floor Wax,429.25,55
113,Natural Office Highlighter,77.5,59
114,Organic Tech Earphones,1575.75,63
115,Premium Pet Cat Food 1kg,185.74,67
116,Roasted Coffee Espresso Beans,379.25,71
117,Sweet Tea Hibiscus Leaves,480.24,75
118,Light Snack Popcorn Bag,112.5,79
119,Special Drink Juice Box,190.74,83
120,Local Bakery Banana Bread,224.0,87
121,Roasted Coffee Cappuccino Sticks,660.75,31
122,Sweet Tea Jasmine Pearls,503.99,35
123,Light Snack Trail Mix,158.49,39
124,Special Drink Sports Drink,192.49,43
125,Local Bakery Cinnamon Roll,184.0,47
126,Fresh Dairy Greek Yogurt,250.99,51
127,Classic Pantry Soy Sauce 1L,214.75,55
128,Original Frozen Frozen Pizza,135.99,59
129,Salted Produce Garlic Bulb,88.75,63
130,Spicy Meat Lamb Chops,207.49,67
131,Deluxe Bath Mouthwash,170.49,71
132,Imported Clean Floor Wax,432.5,75
133,Natural Office Highlighter,80.75,79
134,Organic Tech Earphones,1579.0,83
135,Premium Pet Cat Food 1kg,188.99,87
136,Roasted Coffee Espresso Beans,382.5,91
137,Sweet Tea Hibiscus Leaves,483.49,95
138,Light Snack Popcorn Bag,115.75,99
139,Special Drink Juice Box,193.99,4
140,Local Bakery Banana Bread,204.5,8
141,Roasted Coffee Cappuccino Sticks,641.25,51
142,Sweet Tea Jasmine Pearls,484.49,55
143,Light Snack Trail Mix,138.99,59
144,Special Drink Sports Drink,172.99,63
145,Local Bakery Cinnamon Roll,164.5,67
146,Fresh Dairy Greek Yogurt,231.49,71
147,Classic Pantry Soy Sauce 1L,195.25,75
148,Original Frozen Frozen Pizza,116.49,79
149,Salted Produce Garlic Bulb,69.25,83
150,Spicy Meat Lamb Chops,187.99,87
151,Deluxe Bath Mouthwash,150.99,91
152,Imported Clean Floor Wax,413.0,95
153,Natural Office Highlighter,61.25,99
154,Organic Tech Earphones,1559.5,4
155,Premium Pet Cat Food 1kg,169.49,8
156,Roasted Coffee Espresso Beans,363.0,12
157,Sweet Tea Hibiscus Leaves,463.99,16
158,Light Snack Popcorn Bag,96.25,20
159,Special Drink Juice Box,174.49,24
160,Local Bakery Banana Bread,207.75,28
161,Roasted Coffee Cappuccino Sticks,644.5,71
162,Sweet Tea Jasmine Pearls,487.74,75
163,Light Snack Trail Mix,142.24,79
164,Special Drink Sports Drink,176.24,83
165,Local Bakery Cinnamon Roll,167.75,87
166,Fresh Dairy Greek Yogurt,234.74,91
167,Classic Pantry Soy Sauce 1L,198.5,95
168,Original Frozen Frozen Pizza,119.74,99
169,Salted Produce Garlic Bulb,72.5,4
170,Spicy Meat Lamb Chops,191.24,8
171,Deluxe Bath Mouthwash,154.24,12
172,Imported Clean Floor Wax,416.25,16
173,Natural Office Highlighter,64.5,20
174,Organic Tech Earphones,1562.75,24
175,Premium Pet Cat Food 1kg,172.74,28
176,Roasted Coffee Espresso Beans,366.25,32
177,Sweet Tea Hibiscus Leaves,467.24,36
178,Light Snack Popcorn Bag,99.5,40
179,Special Drink Juice Box,177.74,44
180,Local Bakery Banana Bread,211.0,48
181,Roasted Coffee Cappuccino Sticks,647.75,91
182,Sweet Tea Jasmine Pearls,490.99,95
183,Light Snack Trail Mix,145.49,99
184,Special Drink Sports Drink,179.49,4
185,Local Bakery Cinnamon Roll,171.0,8
186,Fresh Dairy Greek Yogurt,237.99,12
187,Classic Pantry Soy Sauce 1L,201.75,16
188,Original Frozen Frozen Pizza,122.99,20
189,Salted Produce Garlic Bulb,75.75,24
190,Spicy Meat Lamb Chops,194.49,28
191,Deluxe Bath Mouthwash,157.49,32
192,Imported Clean Floor Wax,419.5,36
193,Natural Office Highlighter,67.75,40
194,Organic Tech Earphones,1566.0,44
195,Premium Pet Cat Food 1kg,175.99,48
196,Roasted Coffee Espresso Beans,369.5,52
197,Sweet Tea Hibiscus Leaves,470.49,56
198,Light Snack Popcorn Bag,102.75,60
199,Special Drink Juice Box,180.99,64
200,Local Bakery Banana Bread,214.25,68
201,Roasted Coffee Cappuccino Sticks,651.0,12
202,Sweet Tea Jasmine Pearls,494.24,16
203,Light Snack Trail Mix,148.74,20
204,Special Drink Sports Drink,182.74,24
205,Local Bakery Cinnamon Roll,174.25,28
206,Fresh Dairy Greek Yogurt,241.24,32
207,Classic Pantry Soy Sauce 1L,205.0,36
208,Original Frozen Frozen Pizza,126.24,40
209,Salted Produce Garlic Bulb,79.0,44
210,Spicy Meat Lamb Chops,197.74,48
211,Deluxe Bath Mouthwash,160.74,52
212,Imported Clean Floor Wax,422.75,56
213,Natural Office Highlighter,71.0,60
214,Organic Tech Earphones,1569.25,64
215,Premium Pet Cat Food 1kg,179.24,68
216,Roasted Coffee Espresso Beans,372.75,72
217,Sweet Tea Hibiscus Leaves,473.74,76
218,Light Snack Popcorn Bag,106.0,80
219,Special Drink Juice Box,184.24,84
220,Local Bakery Banana Bread,217.5,88
221,Roasted Coffee Cappuccino Sticks,654.25,32
222,Sweet Tea Jasmine Pearls,497.49,36
223,Light Snack Trail Mix,151.99,40
224,Special Drink Sports Drink,185.99,44
225,Local Bakery Cinnamon Roll,177.5,48
226,Fresh Dairy Greek Yogurt,244.49,52
227,Classic Pantry Soy Sauce 1L,208.25,56
228,Original Frozen Frozen Pizza,129.49,60
229,Salted Produce Garlic Bulb,82.25,64
230,Spicy Meat Lamb Chops,200.99,68
231,Deluxe Bath Mouthwash,163.99,72
232,Imported Clean Floor Wax,426.0,76
233,Natural Office Highlighter,74.25,80
234,Organic Tech Earphones,1572.5,84
235,Premium Pet Cat Food 1kg,182.49,88
236,Roasted Coffee Espresso Beans,376.0,92
237,Sweet Tea Hibiscus Leaves,476.99,96
238,Light Snack Popcorn Bag,109.25,1
239,Special Drink Juice Box,187.49,5
240,Local Bakery Banana Bread,220.75,9
241,Roasted Coffee Cappuccino Sticks,657.5,52
242,Sweet Tea Jasmine Pearls,500.74,56
243,Light Snack Trail Mix,155.24,60
244,Special Drink Sports Drink,189.24,64
245,Local Bakery Cinnamon Roll,180.75,68
246,Fresh Dairy Greek Yogurt,247.74,72
247,Classic Pantry Soy Sauce 1L,211.5,76
248,Original Frozen Frozen Pizza,132.74,80
249,Salted Produce Garlic Bulb,85.5,84
250,Spicy Meat Lamb Chops,204.24,88
251,Deluxe Bath Mouthwash,167.24,92
252,Imported Clean Floor Wax,429.25,96
253,Natural Office Highlighter,77.5,1
254,Organic Tech Earphones,1575.75,5
255,Premium Pet Cat Food 1kg,185.74,9
256,Roasted Coffee Espresso Beans,379.25,13
257,Sweet Tea Hibiscus Leaves,480.24,17
258,Light Snack Popcorn Bag,112.5,21
259,Special Drink Juice Box,190.74,25
260,Local Bakery Banana Bread,224.0,29
261,Roasted Coffee Cappuccino Sticks,660.75,72
262,Sweet Tea Jasmine Pearls,503.99,76
263,Light Snack Trail Mix,158.49,80
264,Special Drink Sports Drink,192.49,84
265,Local Bakery Cinnamon Roll,184.0,88
266,Fresh Dairy Greek Yogurt,250.99,92
267,Classic Pantry Soy Sauce 1L,214.75,96
268,Original Frozen Frozen Pizza,135.99,1
269,Salted Produce Garlic Bulb,88.75,5
270,Spicy Meat Lamb Chops,207.49,9
271,Deluxe Bath Mouthwash,170.49,13
272,Imported Clean Floor Wax,432.5,17
273,Natural Office Highlighter,80.75,21
274,Organic Tech Earphones,1579.0,25
275,Premium Pet Cat Food 1kg,188.99,29
276,Roasted Coffee Espresso Beans,382.5,33
277,Sweet Tea Hibiscus Leaves,483.49,37
278,Light Snack Popcorn Bag,115.75,41
279,Special Drink Juice Box,193.99,45
280,Local Bakery Banana Bread,204.5,49
281,Roasted Coffee Cappuccino Sticks,641.25,92
282,Sweet Tea Jasmine Pearls,484.49,96
283,Light Snack Trail Mix,138.99,1
284,Special Drink Sports Drink,172.99,5
285,Local Bakery Cinnamon Roll,164.5,9
286,Fresh Dairy Greek Yogurt,231.49,13
287,Classic Pantry Soy Sauce 1L,195.25,17
288,Original Frozen Frozen Pizza,116.49,21
289,Salted Produce Garlic Bulb,69.25,25
290,Spicy Meat Lamb Chops,187.99,29
291,Deluxe Bath Mouthwash,150.99,33
292,Imported Clean Floor Wax,413.0,37
293,Natural Office Highlighter,61.25,41
294,Organic Tech Earphones,1559.5,45
295,Premium Pet Cat Food 1kg,169.49,49
296,Roasted Coffee Espresso Beans,363.0,53
297,Sweet Tea Hibiscus Leaves,463.99,57
298,Light Snack Popcorn Bag,96.25,61
299,Special Drink Juice Box,174.49,65
300,Local Bakery Banana Bread,207.75,69
301,Roasted Coffee Cappuccino Sticks,644.5,13
302,Sweet Tea Jasmine Pearls,487.74,17
303,Light Snack Trail Mix,142.24,21
304,Special Drink Sports Drink,176.24,25
305,Local Bakery Cinnamon Roll,167.75,29
306,Fresh Dairy Greek Yogurt,234.74,33
307,Classic Pantry Soy Sauce 1L,198.5,37
308,Original Frozen Frozen Pizza,119.74,41
309,Salted Produce Garlic Bulb,72.5,45
310,Spicy Meat Lamb Chops,191.24,49
311,Deluxe Bath Mouthwash,154.24,53
312,Imported Clean Floor Wax,416.25,57
313,Natural Office Highlighter,64.5,61
314,Organic Tech Earphones,1562.75,65
315,Premium Pet Cat Food 1kg,172.74,69
316,Roasted Coffee Espresso Beans,366.25,73
317,Sweet Tea Hibiscus Leaves,467.24,77
318,Light Snack Popcorn Bag,99.5,81
319,Special Drink Juice Box,177.74,85
320,Local Bakery Banana Bread,211.0,89
321,Roasted Coffee Cappuccino Sticks,647.75,33
322,Sweet Tea Jasmine Pearls,490.99,37
323,Light Snack Trail Mix,145.49,41
324,Special Drink Sports Drink,179.49,45
325,Local Bakery Cinnamon Roll,171.0,49
326,Fresh Dairy Greek Yogurt,237.99,53
327,Classic Pantry Soy Sauce 1L,201.75,57
328,Original Frozen Frozen Pizza,122.99,61
329,Salted Produce Garlic Bulb,75.75,65
330,Spicy Meat Lamb Chops,194.49,69
331,Deluxe Bath Mouthwash,157.49,73
332,Imported Clean Floor Wax,419.5,77
333,Natural Office Highlighter,67.75,81
334,Organic Tech Earphones,1566.0,85
335,Premium Pet Cat Food 1kg,175.99,89
336,Roasted Coffee Espresso Beans,369.5,93
337,Sweet Tea Hibiscus Leaves,470.49,97
338,Light Snack Popcorn Bag,102.75,2
339,Special Drink Juice Box,180.99,6
340,Local Bakery Banana Bread,214.25,10
341,Roasted Coffee Cappuccino Sticks,651.0,53
342,Sweet Tea Jasmine Pearls,494.24,57
343,Light Snack Trail Mix,148.74,61
344,Special Drink Sports Drink,182.74,65
345,Local Bakery Cinnamon Roll,174.25,69
346,Fresh Dairy Greek Yogurt,241.24,73
347,Classic Pantry Soy Sauce 1L,205.0,77
348,Original Frozen Frozen Pizza,126.24,81
349,Salted Produce Garlic Bulb,79.0,85
350,Spicy Meat Lamb Chops,197.74,89
351,Deluxe Bath Mouthwash,160.74,93
352,Imported Clean Floor Wax,422.75,97
353,Natural Office Highlighter,71.0,2
354,Organic Tech Earphones,1569.25,6
355,Premium Pet Cat Food 1kg,179.24,10
356,Roasted Coffee Espresso Beans,372.75,14
357,Sweet Tea Hibiscus Leaves,473.74,18
358,Light Snack Popcorn Bag,106.0,22
359,Special Drink Juice Box,184.24,26
360,Local Bakery Banana Bread,217.5,30
361,Roasted Coffee Cappuccino Sticks,654.25,73
362,Sweet Tea Jasmine Pearls,497.49,77
363,Light Snack Trail Mix,151.99,81
364,Special Drink Sports Drink,185.99,85
365,Local Bakery Cinnamon Roll,177.5,89
366,Fresh Dairy Greek Yogurt,244.49,93
367,Classic Pantry Soy Sauce 1L,208.25,97
368,Original Frozen Frozen Pizza,129.49,2
369,Salted Produce Garlic Bulb,82.25,6
370,Spicy Meat Lamb Chops,200.99,10
371,Deluxe Bath Mouthwash,163.99,14
372,Imported Clean Floor Wax,426.0,18
373,Natural Office Highlighter,74.25,22
374,Organic Tech Earphones,1572.5,26
375,Premium Pet Cat Food 1kg,182.49,30
376,Roasted Coffee Espresso Beans,376.0,34
377,Sweet Tea Hibiscus Leaves,476.99,38
378,Light Snack Popcorn Bag,109.25,42
379,Special Drink Juice Box,187.49,46
380,Local Bakery Banana Bread,220.75,50
381,Roasted Coffee Cappuccino Sticks,657.5,93
382,Sweet Tea Jasmine Pearls,500.74,97
383,Light Snack Trail Mix,155.24,2
384,Special Drink Sports Drink,189.24,6
385,Local Bakery Cinnamon Roll,180.75,10
386,Fresh Dairy Greek Yogurt,247.74,14
387,Classic Pantry Soy Sauce 1L,211.5,18
388,Original Frozen Frozen Pizza,132.74,22
389,Salted Produce Garlic Bulb,85.5,26
390,Spicy Meat Lamb Chops,204.24,30
391,Deluxe Bath Mouthwash,167.24,34
392,Imported Clean Floor Wax,429.25,38
393,Natural Office Highlighter,77.5,42
394,Organic Tech Earphones,1575.75,46
395,Premium Pet Cat Food 1kg,185.74,50
396,Roasted Coffee Espresso Beans,379.25,54
397,Sweet Tea Hibiscus Leaves,480.24,58
398,Light Snack Popcorn Bag,112.5,62
399,Special Drink Juice Box,190.74,66
400,Local Bakery Banana Bread,224.0,70
401,Roasted Coffee Cappuccino Sticks,660.75,14
402,Sweet Tea Jasmine Pearls,503.99,18
403,Light Snack Trail Mix,158.49,22
404,Special Drink Sports Drink,192.49,26
405,Local Bakery Cinnamon Roll,184.0,30
406,Fresh Dairy Greek Yogurt,250.99,34
407,Classic Pantry Soy Sauce 1L,214.75,38
408,Original Frozen Frozen Pizza,135.99,42
409,Salted Produce Garlic Bulb,88.75,46
410,Spicy Meat Lamb Chops,207.49,50
411,Deluxe Bath Mouthwash,170.49,54
412,Imported Clean Floor Wax,432.5,58
413,Natural Office Highlighter,80.75,62
414,Organic Tech Earphones,1579.0,66
415,Premium Pet Cat Food 1kg,188.99,70
416,Roasted Coffee Espresso Beans,382.5,74
417,Sweet Tea Hibiscus Leaves,483.49,78
418,Light Snack Popcorn Bag,115.75,82
419,Special Drink Juice Box,193.99,86
420,Local Bakery Banana Bread,204.5,90
421,Roasted Coffee Cappuccino Sticks,641.25,34
422,Sweet Tea Jasmine Pearls,484.49,38
423,Light Snack Trail Mix,138.99,42
424,Special Drink Sports Drink,172.99,46
425,Local Bakery Cinnamon Roll,164.5,50
426,Fresh Dairy Greek Yogurt,231.49,54
427,Classic Pantry Soy Sauce 1L,195.25,58
428,Original Frozen Frozen Pizza,116.49,62
429,Salted Produce Garlic Bulb,69.25,66
430,Spicy Meat Lamb Chops,187.99,70
431,Deluxe Bath Mouthwash,150.99,74
432,Imported Clean Floor Wax,413.0,78
433,Natural Office Highlighter,61.25,82
434,Organic Tech Earphones,1559.5,86
435,Premium Pet Cat Food 1kg,169.49,90
436,Roasted Coffee Espresso Beans,363.0,94
437,Sweet Tea Hibiscus Leaves,463.99,98
438,Light Snack Popcorn Bag,96.25,3
439,Special Drink Juice Box,174.49,7
440,Local Bakery Banana Bread,207.75,11
441,Roasted Coffee Cappuccino Sticks,644.5,54
442,Sweet Tea Jasmine Pearls,487.74,58
443,Light Snack Trail Mix,142.24,62
444,Special Drink Sports Drink,176.24,66
445,Local Bakery Cinnamon Roll,167.75,70
446,Fresh Dairy Greek Yogurt,234.74,74
447,Classic Pantry Soy Sauce 1L,198.5,78
448,Original Frozen Frozen Pizza,119.74,82
449,Salted Produce Garlic Bulb,72.5,86
450,Spicy Meat Lamb Chops,191.24,90
451,Deluxe Bath Mouthwash,154.24,94
452,Imported Clean Floor Wax,416.25,98
453,Natural Office Highlighter,64.5,3
454,Organic Tech Earphones,1562.75,7
455,Premium Pet Cat Food 1kg,172.74,11
456,Roasted Coffee Espresso Beans,366.25,15
457,Sweet Tea Hibiscus Leaves,467.24,19
458,Light Snack Popcorn Bag,99.5,23
459,Special Drink Juice Box,177.74,27
460,Local Bakery Banana Bread,211.0,31
461,Roasted Coffee Cappuccino Sticks,647.75,74
462,Sweet Tea Jasmine Pearls,490.99,78
463,Light Snack Trail Mix,145.49,82
464,Special Drink Sports Drink,179.49,86
465,Local Bakery Cinnamon Roll,171.0,90
466,Fresh Dairy Greek Yogurt,237.99,94
467,Classic Pantry Soy Sauce 1L,201.75,98
468,Original Frozen Frozen Pizza,122.99,3
469,Salted Produce Garlic Bulb,75.75,7
470,Spicy Meat Lamb Chops,194.49,11
471,Deluxe Bath Mouthwash,157.49,15
472,Imported Clean Floor Wax,419.5,19
473,Natural Office Highlighter,67.75,23
474,Organic Tech Earphones,1566.0,27
475,Premium Pet Cat Food 1kg,175.99,31
476,Roasted Coffee Espresso Beans,369.5,35
477,Sweet Tea Hibiscus Leaves,470.49,39
478,Light Snack Popcorn Bag,102.75,43
479,Special Drink Juice Box,180.99,47
480,Local Bakery Banana Bread,214.25,51
481,Roasted Coffee Cappuccino Sticks,651.0,94
482,Sweet Tea Jasmine Pearls,494.24,98
483,Light Snack Trail Mix,148.74,3
484,Special Drink Sports Drink,182.74,7
485,Local Bakery Cinnamon Roll,174.25,11
486,Fresh Dairy Greek Yogurt,241.24,15
487,Classic Pantry Soy Sauce 1L,205.0,19
488,Original Frozen Frozen Pizza,126.24,23
489,Salted Produce Garlic Bulb,79.0,27
490,Spicy Meat Lamb Chops,197.74,31
491,Deluxe Bath Mouthwash,160.74,35
492,Imported Clean Floor Wax,422.75,39
493,Natural Office Highlighter,71.0,43
494,Organic Tech Earphones,1569.25,47
495,Premium Pet Cat Food 1kg,179.24,51
496,Roasted Coffee Espresso Beans,372.75,55
497,Sweet Tea Hibiscus Leaves,473.74,59
498,Light Snack Popcorn Bag,106.0,63
499,Special Drink Juice Box,184.24,67
500,Local Bakery Banana Bread,217.5,71
501,Roasted Coffee Cappuccino Sticks,654.25,15
502,Sweet Tea Jasmine Pearls,497.49,19
503,Light Snack Trail Mix,151.99,23
504,Special Drink Sports Drink,185.99,27
505,Local Bakery Cinnamon Roll,177.5,31
506,Fresh Dairy Greek Yogurt,244.49,35
507,Classic Pantry Soy Sauce 1L,208.25,39
508,Original Frozen Frozen Pizza,129.49,43
509,Salted Produce Garlic Bulb,82.25,47
510,Spicy Meat Lamb Chops,200.99,51
511,Deluxe Bath Mouthwash,163.99,55
512,Imported Clean Floor Wax,426.0,59
513,Natural Office Highlighter,74.25,63
514,Organic Tech Earphones,1572.5,67
515,Premium Pet Cat Food 1kg,182.49,71
516,Roasted Coffee Espresso Beans,376.0,75
517,Sweet Tea Hibiscus Leaves,476.99,79
518,Light Snack Popcorn Bag,109.25,83
519,Special Drink Juice Box,187.49,87
520,Local Bakery Banana Bread,220.75,91
521,Roasted Coffee Cappuccino Sticks,657.5,35
522,Sweet Tea Jasmine Pearls,500.74,39
523,Light Snack Trail Mix,155.24,43
524,Special Drink Sports Drink,189.24,47
525,Local Bakery Cinnamon Roll,180.75,51
526,Fresh Dairy Greek Yogurt,247.74,55
527,Classic Pantry Soy Sauce 1L,211.5,59
528,Original Frozen Frozen Pizza,132.74,63
529,Salted Produce Garlic Bulb,85.5,67
530,Spicy Meat Lamb Chops,204.24,71
531,Deluxe Bath Mouthwash,167.24,75
532,Imported Clean Floor Wax,429.25,79
533,Natural Office Highlighter,77.5,83
534,Organic Tech Earphones,1575.75,87
535,Premium Pet Cat Food 1kg,185.74,91
536,Roasted Coffee Espresso Beans,379.25,95
537,Sweet Tea Hibiscus Leaves,480.24,99
538,Light Snack Popcorn Bag,112.5,4
539,Special Drink Juice Box,190.74,8
540,Local Bakery Banana Bread,224.0,12
541,Roasted Coffee Cappuccino Sticks,660.75,55
542,Sweet Tea Jasmine Pearls,503.99,59
543,Light Snack Trail Mix,158.49,63
544,Special Drink Sports Drink,192.49,67
545,Local Bakery Cinnamon Roll,184.0,71
546,Fresh Dairy Greek Yogurt,250.99,75
547,Classic Pantry Soy Sauce 1L,214.75,79
548,Original Frozen Frozen Pizza,135.99,83
549,Salted Produce Garlic Bulb,88.75,87
550,Spicy Meat Lamb Chops,207.49,91
551,Deluxe Bath Mouthwash,170.49,95
552,Imported Clean Floor Wax,432.5,99
553,Natural Office Highlighter,80.75,4
554,Organic Tech Earphones,1579.0,8
555,Premium Pet Cat Food 1kg,188.99,12
556,Roasted Coffee Espresso Beans,382.5,16
557,Sweet Tea Hibiscus Leaves,483.49,20
558,Light Snack Popcorn Bag,115.75,24
559,Special Drink Juice Box,193.99,28
560,Local Bakery Banana Bread,204.5,32
561,Roasted Coffee Cappuccino Sticks,641.25,75
562,Sweet Tea Jasmine Pearls,484.49,79
563,Light Snack Trail Mix,138.99,83
564,Special Drink Sports Drink,172.99,87
565,Local Bakery Cinnamon Roll,164.5,91
566,Fresh Dairy Greek Yogurt,231.49,95
567,Classic Pantry Soy Sauce 1L,195.25,99
568,Original Frozen Frozen Pizza,116.49,4
569,Salted Produce Garlic Bulb,69.25,8
570,Spicy Meat Lamb Chops,187.99,12
571,Deluxe Bath Mouthwash,150.99,16
572,Imported Clean Floor Wax,413.0,20
573,Natural Office Highlighter,61.25,24
574,Organic Tech Earphones,1559.5,28
575,Premium Pet Cat Food 1kg,169.49,32
576,Roasted Coffee Espresso Beans,363.0,36
577,Sweet Tea Hibiscus Leaves,463.99,40
578,Light Snack Popcorn Bag,96.25,44
579,Special Drink Juice Box,174.49,48
580,Local Bakery Banana Bread,207.75,52
581,Roasted Coffee Cappuccino Sticks,644.5,95
582,Sweet Tea Jasmine Pearls,487.74,99
583,Light Snack Trail Mix,142.24,4
584,Special Drink Sports Drink,176.24,8
585,Local Bakery Cinnamon Roll,167.75,12
586,Fresh Dairy Greek Yogurt,234.74,16
587,Classic Pantry Soy Sauce 1L,198.5,20
588,Original Frozen Frozen Pizza,119.74,24
589,Salted Produce Garlic Bulb,72.5,28
590,Spicy Meat Lamb Chops,191.24,32
591,Deluxe Bath Mouthwash,154.24,36
592,Imported Clean Floor Wax,416.25,40
593,Natural Office Highlighter,64.5,44
594,Organic Tech Earphones,1562.75,48
595,Premium Pet Cat Food 1kg,172.74,52
596,Roasted Coffee Espresso Beans,366.25,56
597,Sweet Tea Hibiscus Leaves,467.24,60
598,Light Snack Popcorn Bag,99.5,64
599,Special Drink Juice Box,177.74,68
600,Local Bakery Banana Bread,211.0,72
601,Roasted Coffee Cappuccino Sticks,647.75,16
602,Sweet Tea Jasmine Pearls,490.99,20
603,Light Snack Trail Mix,145.49,24
604,Special Drink Sports Drink,179.49,28
605,Local Bakery Cinnamon Roll,171.0,32
606,Fresh Dairy Greek Yogurt,237.99,36
607,Classic Pantry Soy Sauce 1L,201.75,40
608,Original Frozen Frozen Pizza,122.99,44
609,Salted Produce Garlic Bulb,75.75,48
610,Spicy Meat Lamb Chops,194.49,52
611,Deluxe Bath Mouthwash,157.49,56
612,Imported Clean Floor Wax,419.5,60
613,Natural Office Highlighter,67.75,64
614,Organic Tech Earphones,1566.0,68
